F0010001A2007_1_07,ngin11 og2 ngin11 pa55 tien24 m11 pa55 ngin11 san55 ngin11 ki24 tien24 bud2 ki24 
F0010001A2007_10_07,den31 ded2 ngied5 cud2 ngid2 log5 xi24 
F0010001A2007_100_07,zun31 sui31 ngien11 ha24 e31 ca11 hed2 sang11 ha55 e31 cu31 fun55 song55 cam55 e31 
F0010001A2007_101_07,vog5 teu11 dab5 vu24 in11 jiu31 ngiong11 ien11 xien55 e31 fad2 gau55 ngiau55 kiun11 e31
F0010001A2007_102_07,bai11 zog2 nen55 zu24 e31 fo31 teu11 nga11 gog5 e31 lung11 cong11 bi11 bi55 e31 
F0010001A2007_103_07,pong55 giang55 to31 gung24 lo11 lib2 ma11 va31 tai55 pien31 con24 mun11 xiag2 go55 teu11
F0010001A2007_104_07,cag5 mun11 xim24 gon24 e31 li11 ba24 zon31 ngoi55 ga24 lo11 e31 miang55 ton11 e31 
F0010001A2007_105_07,heu55 sang24 ngin11 zui55 giang24 lo31 ngin11 ga24 nung11 gong31 do31 siin11 jid2
F0010001A2007_106_07,lo31 tai24 tung11 teu11 miang11 qion11 qion11 bi31 m11 ded2 bi31 ge55 mi24 miang11 qiu55 han11 ka55 ded2 
F0010001A2007_107_07,ba24 zong31 ma11 tong55 a55 go55 hi55 ia31 se55 teu11 ngi11 zung31 bau24 hi31 loi11
F0010001A2007_108_07,vug2 ha24 an31 do24 ngin11 voi55 tung11 ngi11 ten55 zo55 m11 sii31 giang24 
F0010001A2007_109_07,gau24 gon24 gied2 fu31 tai55 tai55 se55 se55 tai55 zu31 tai55 i55 tung24 su31 tung24 giog2
F0010001A2007_11_07,ngin11 xim24 jied2 jied2 go24 liau55 sii55 xia31 siin11 ko24 
F0010001A2007_110_07,xiau11 xiau11 pi55 pi55 xien24 ho55 xien24 iang11 xien24 zeu31 xien24 iang11 xiong24 da31 bi55 boi55 
F0010001A2007_111_07,he55 siid5 do31 m11 gag2 du31 ge55 dung24 xi24 voi55 ed5 son24 a24 lin11 nguan11 ki31 gau31 ted2 mo11 su24 qiu24
F0010001A2007_112_07,hoi55 gia24 me24 nang55 do31 died2 do55 xi55 giog2 ngia55 tien24 
F0010001A2007_113_07,gin31 gong31 fa55 iu55 gin31 iam55 giog2 dong24 mo11 li24 mau55
F0010001A2007_114_07,dong24 do24 mun24 e31 di55 ngia24 kia55 la55 ha24 xiu11 a55 xiu11 e31 oi55 diau24 ngi11 han11 m11 giag2 giag2 zeu31 
F0010001A2007_115_07,tien24 dang31 ge55 sen24 xiu55 an31 do24 ngi11 siid2 gi31 do24 liab5
F0010001A2007_116_07,man24 sug2 ge55 xin55 ti31 dong24 ho31 iu55 dong24 ngied5 xim24 m11 go55 gi11 he55 id2 ge55 gua11 gu31 
F0010001A2007_117_07,gi11 he55 fad2 xin55 hi31 loi11 ma31 ngin11 ge55 fa55 du55 m11 tang24
F0010001A2007_118_07,ia31 zu24 iu11 biong55 ted2 giu31 pi55 hi31 loi11 dong24 cu55 iu11 gieu31 pa55 he55 fai55 ted2 le11 
F0010001A2007_119_07,ng31 ngied5 jied2 lug5 gong31 iu24 pan55 pa11 liung11 son11 bi31 soi55 cam24 xiong11 sii55 qin11 oi55 gong31 to55 li24
F0010001A2007_12_07,liong11 ngien11 id2 gi55 sam24 dung24 non24 og2 ngi24 song24 ngin11 liug2 ngied5 hon11 
F0010001A2007_120_07,he55 vang11 vang11 kia11 tin55 cog5 m11 voi55 iu24 gied2 go31 
F0010001A2007_121_07,ia31 biang31 e31 an31 zau24 mo11 bong31 ca11 tun24 m11 log5 goi24 m11 ho31 zu31 an31 do24
F0010001A2007_122_07,vug2 ha24 qiang55 liong31 sa11 ngin11 siid5 m11 hi55 do31 ted2 dong24 da31 song31 
F0010001A2007_123_07,gi11 m11 hiau31 ded2 sii31 kuai55 e31 giab2 m11 do31 coi55 loi11 siid5
F0010001A2007_124_07,a24 ngi55 ge55 su31 mug2 m11 du31 ho31 cam24 do31 sa55 lud2 von31 siid5 cai55 han11 soi24 io24
F0010001A2007_125_07,jia31 po11 ge55 tai55 sang24 goi24 ien31 ien31 qiu55 tang24 ded2 do31 i31 log5 ted2 do24 zo55 tai55 sui31
F0010001A2007_126_07,mo11 ban55 xid5 i31 zo55 tien24 hon24 siid5 cai55 i55 nan11 ngai55 
F0010001A2007_127_07,xin24 sang24 mang11 gong31 gi11 qiu55 tung11 ko55 bun31 ien24 ho31 se55 e11
F0010001A2007_128_07,ia31 toi11 ca24 e31 ngiong31 voi55 tin11 di55 lu55 gang55 teu11 sad2 sad2 hem24 ca24 zu31 loi11 sai31 vi55 
F0010001A2007_129_07,go55 mug2 guan24 le24 ziim24 xien55 kung24 qiu55 kien55 m11 go55
F0010001A2007_13_07,ngiu11 m11 zo55 ced5 m11 zo55 vang11 da31 ciid5 go55 
F0010001A2007_130_07,teu11 ha55 ma24 tai55 ga24 du55 kon55 gi11 mo11 ban55 pied2 boi55 mi24 zang55 di24 gi11 he55 tai55 giog2 sii55 
F0010001A2007_131_07,an31 giu31 mo11 kon55 do31 n11 go24 ga24 i55 do24 o24 gieu31 e31 siid5 dung24 xi24 ge55 sii11 jied2
F0010001A2007_132_07,hiung24 gab5 gab5 e31 ped5 sa11 id2 loi11 qiu55 ngau24 gi11 
F0010001A2007_133_07,gi11 dui55 leu11 dang31 do55 teu11 zung55 died2 ha24 loi11 i55 song24 dong55
F0010001A2007_134_07,bed2 fi11 tied2 lu55 gin24 go55 dong24 do24 san24 fo31 ca24 di55 am55 lung11 du31 zon55 loi11 zon55 hi55 
F0010001A2007_135_07,teu11 qien11 cud2 ca24 fo55 ca24 e31 qion11 di55 lu55 hong55 ka11 den31
F0010001A2007_136_07,se55 o24 nga55 e31 sui24 ien11 iu24 do24 seu31 e31 cu55 nen55 so24 m11 go55 qin55 ded2 ngin11 xiag2 
F0010001A2007_137_07,a24 ba24 sii31 moi11 ngin11 po11 hi55 a24 lug2 bag2 vug2 ha24 gong31 qin24
F0010001A2007_138_07,go55 ngien11 vug2 ha24 tai55 biang55 so55 a24 ji31 na24 sui31 gon31 dui55 den31 cung24 mun11 xied5 sui31 
F0010001A2007_139_07,he55 gong31 n11 du31 gi24 ngi11 qiu55 xien24 siid5 mo11 ieu55 gin31 mo11 no31 sii31 he55 mo11
F0010001A2007_14_07,mang11 zung55 gua24 teu55 xien24 dab2 pang11 mang11 giung55 lai55 e31 xien24 on24 miang11
F0010001A2007_140_07,an31 gien31 dan24 ge55 sii55 n11 do55 gim24 han11 kon55 m11 ziin24 
F0010001A2007_141_07,gi11 liong31 sa11 deu55 gu31 oi55 koi24 id2 gien24 pien55 li55 song24 diam55 ia31 lo31 ca24 e31
F0010001A2007_142_07,jiab5 jiab5 sii31 do55 ban55 lu55 qiu55 diam24 ted2 i55 mo11 gad2 sad2 
F0010001A2007_143_07,iu24 siin24 im31 ge55 ngin11 oi55 do24 liau55 m11 ho31 ted2 go55 lo11 lug2
F0010001A2007_144_07,ngib5 mun11 he55 kon55 do31 id2 zong24 cu55 sii31 mien55 voi55 ngiog2 xiog2 do55 ki24 co24 m11 hed5 
F0010001A2007_145_07,tang24 ngin11 gong31 siin55 ga24 m11 zab2 ge55 ngin11 ka55 voi55 ieu24 gud2 son24 ngion24
F0010001A2007_146_07,kiu55 lag5 qid2 ngied5 ge55 ha55 i55 do24 sii55 meu55 voi55 pan55 pu24 tu55 fad5 tung55 
F0010001A2007_147_07,fung11 mo24 nai11 vug2 dang31 he55 iu24 bid2 pung55 tin55 cog5 voi55 leu55 sui31
F0010001A2007_148_07,gie24 lon31 gau24 iu24 liong31 de55 m11 go55 ngia24 ngiag2 bun24 ngia24 lo31 tai24 siid5 ted2 le24 
F0010001A2007_149_07,tai55 ga24 mo11 oi55 sang24 gi11 tin55 tin55 gi11 sa55 ciin55 ciin55 no31 song24
F0010001A2007_15_07,mog5 ma55 iu24 sii11 qi24 id2 ia55 su55 gu24 xi24
F0010001A2007_150_07,ia31 gi31 ngid2 ge55 tien24 sii11 mo11 ziin55 song11 vun24 tu55 go24 iu55 go55 hi31 seu24 fung24 
F0010001A2007_151_07,ia31 ha55 qim11 teu11 lu55 do24 seu31 e31 oi55 voi55 gong31 in24 ngi24 tien24 ngoi55 iu24 tien24
F0010001A2007_152_07,ngin11 ngoi55 iu24 ngin11 id2 ge55 ngin11 qied5 dui55 m11 ho31 cii55 tai55 
F0010001A2007_153_07,gi11 he55 iu24 gin24 go55 ia31 vi55 sang11 bai31 e31 voi55 ngib5 loi11 co24
F0010001A2007_154_07,da31 zo31 qiu55 kon55 gi11 teu11 qin31 qin31 nung55 nung55 e31 hang11 m11 di24 oi55 hi55 nai55 
F0010001A2007_155_07,ia31 ha55 oi55 fu55 sii11 gien24 ngi11 hang11 ka55 giag2 deu24 e31 ho31 mo11
F0010001A2007_156_07,teu11 bai31 gie24 lu55 mi24 iu24 id2 gien24 hi55 ien11 dag2 am55 bu24 voi55 zo55 tien55 iang31 
F0010001A2007_157_07,lo11 ped5 xi24 oi55 iun11 koi24 loi11 sai55 mo11 sii11 sai55 m11 voi55 zau24
F0010001A2007_158_07,mog5 ma31 ge55 qiu55 mong55 se55 ngin11 e31 qid2 ga24 siin24 ti31 gu55 ho31 loi11 ka55 iang11 
F0010001A2007_159_07,a24 bag2 gung24 ge55 sii55 med5 qin55 bau31 gong31 xi55 gi55 sui11 kieu31 loi11
F0010001A2007_16_07,meu55 cau55 fan55 zen55 zung31 siin11 gieu31
F0010001A2007_160_07,sam24 fu55 se31 ho31 na24 hi55 tod2 sui31 gi24 gau31 gau31 a55 lang11 ka55 giag2 zau24 
F0010001A2007_161_07,zo55 ma31 ge55 sii55 qin11 du55 kiung55 iong55 ho31 teu11 ho31 mi24 zang55 ien11 man24
F0010001A2007_162_07,gi11 zo55 sen24 li24 siid2 pai55 e11 mug2 ngiab2 ngiab2 e31 i55 coi24 go55 
F0010001A2007_163_07,fu55 ngin11 ga24 iu24 siin24 im31 ge55 sii11 jied2 vug2 ha24 ge55 dung24 xi24 zo55 m11 ded2 qin31 cai31 tung24
F0010001A2007_164_07,qin31 cai31 dang24 giang24 pa55 voi55 fam24 do31 toi24 siin11 
F0010001A2007_165_07,fan24 teu55 ma11 e31 vong11 teu55 e31 zung31 ha55 zo55 ded2 da31 iu11
F0010001A2007_166_07,an31 ngied5 ge55 tien24 sii11 han11 tung11 cung24 mun11 guan24 qiu24 qiu24 voi55 hib2 xi31 o24 
F0010001A2007_167_07,lo31 vug2 dong24 fad2 se55 ngin11 e31 dong24 hau55 di55 ge55 gau31 du31 ngin11 qim11
F0010001A2007_168_07,co24 bu24 ngid2 hang11 ted2 tiam31 zeu24 siin11 hong55 cong11 han11 cang55 tui31 cang55 tui31 
F0010001A2007_169_07,se55 ngin11 e31 an31 ngang55 giang31 tin55 cog5 oi55 gau24 zang55 m11 voi55 hog5 fai31
F0010001A2007_17_07,ho31 sii55 m11 cud2 mun11 fai31 sii55 con11 qien24 li24
