F0010001A2007_100_07,zun31 sui31 ngien11 ha24 e31 ca11 hed2 sang11 ha55 e31 cu31 fun55 sung55 cam55 e31
F0010001A2007_101_07,vog5 teu11 dab5 vu24 in11 jiu31 ngiong11 ien11 xien55 e31 fad2 gau55 ngiau55 kiun11 e31
F0010001A2007_102_07,bai11 zog2 nen55 zu24 e31 fo31 teu11 nga11 gog5 e31 lung11 cong11 bi11 bi24 e31
F0010001A2007_103_07,pong55 giang55 to31 gung24 lo11 lib2 ma11 va31 tai55 pien31 con24 mun11 xiag2 go55 teu11
F0010001A2007_104_07,cag5 mun11 xim24 gon24 e31 li11 ba24 zon31 ngoi55 ga24 lo11 e31 miang55 ton11 e31
F0010001A2007_105_07,heu55 sang24 ngin11 zui55 giang24 lo31 ngin11 ga24 nung11 gong31 bo31 siin11 jid2
F0010001A2007_106_07,lo31 tai24 tung11 teu11 miang11 qion11 qion11 bi31 m11 ded2 bi31 ge55 mi24 miang11 qiu55 han11 ka55 ded2
F0010001A2007_107_07,ba24 zong31 ma11 tong55 a55 go55 hi55 ia31 se55 teu11 ngin11 zung31 bau24 hi31 loi11
F0010001A2007_108_07,vug2 ha24 an31 do24 ngin11 voi55 tung11 ngi11 ten55 zo55 m11 sii31 giang24
F0010001A2007_109_07,gau24 gon24 gied2 fu31 tai55 tai55 se55 se55 tai55 zu31 tai55 i55 tung24 su31 tung24 giog2
F0010001A2007_10_07,den31 ded2 ngied5 cud2 ngid2 log5 xi24
F0010001A2007_110_07,xiau11 xiau11 pi55 pi55 xien24 ho55 xien24 iang11 xien24 zeu31 xien24 iang11 xiong24 da31 bi55 boi55
F0010001A2007_111_07,he55 siid5 do31 m11 gag2 du31 ge55 dung24 xi24 voi55 ed5 son24 a24 lin11 nguan11 ki31 gau31 ted2 mo11 su24 qiu24
F0010001A2007_112_07,hoi55 gia24 me24 nang55 do31 died2 do55 xi55 giog2 ngia55 tien24
F0010001A2007_113_07,gin31 gong31 fa55 iu55 gin31 iam55 giog2 dong24 mo11 li24 mau55
F0010001A2007_114_07,dong24 do24 mun24 e31 di55 ngia24 kia55 la55 ha24 xiu11 a55 xiu11 e31 oi55 diau24 ngi11 han11 m11 giag2 giag2 zeu31
F0010001A2007_115_07,tien24 dang31 ge55 sen24 xiu55 an31 do24 ngi11 siid2 gi31 do24 liab5
F0010001A2007_116_07,man24 sug2 ge55 xin55 ti31 dong24 ho31 iu55 dong24 ngied5 xim24 m11 go55 gi11 he55 id2 ge55 gua11 gu31
F0010001A2007_117_07,gi11 he55 fad2 xin55 hi31 loi11 ma31 ngin11 ge55 fa55 du55 m11 tang24
F0010001A2007_118_07,ia31 zu24 iu11 biong55 ted2 giu31 pi55 hi31 loi11 dong24 cu55 iu11 gieu31 pa55 he55 fai55 ted2 le24
F0010001A2007_119_07,ng31 ngied5 jied2 do55 gong31 iu24 pan55 pa11 liung11 son11 bi31 soi55 cam24 xiong11 sii55 qin11 oi55 gong31 to55 li24
F0010001A2007_11_07,ngin11 xim24 jied2 jied2 go24 liau55 sii55 xia31 siin11 ko24
F0010001A2007_120_07,he55 vang11 vang11 kia11 tin55 cog5 m11 voi55 iu24 gied2 go31
F0010001A2007_121_07,ia31 biang31 e31 an31 zau24 mo11 bong31 ca11 tun24 m11 log5 goi24 m11 ho31 zu31 an31 do24
F0010001A2007_122_07,vug2 ha24 qiang55 liong31 sa11 ngin11 siid5 m11 hi55 do31 ted2 dong24 da31 song31
F0010001A2007_123_07,gi11 m11 hiau31 ded2 sii31 kuai55 e31 giab2 m11 do31 coi55 loi11 siid5
F0010001A2007_124_07,a24 ngi55 ge55 su31 mug2 m11 du31 ho31 cam24 do31 sa55 lud2 von31 siid5 cai55 han11 soi24 io31
F0010001A2007_125_07,jia31 po11 ge55 tai55 sang24 goi24 ien31 ien31 qiu55 tang24 ded2 do31 i31 log5 ted2 do24 zo55 tai55 sui31
F0010001A2007_126_07,mo11 ban55 xid5 i31 zo55 tien24 hon24 siid5 cai55 i55 nan11 ngai55
F0010001A2007_127_07,xin24 sang24 mang11 gong31 gi11 qiu55 tung11 ko55 bun31 ien24 ho31 se55 e11
F0010001A2007_128_07,ia31 toi11 ca24 e31 ngiong31 voi55 tin11 di55 lu55 gang55 teu11 sad2 sad2 hem24 ca24 zu31 loi11 sai31 vi55
F0010001A2007_129_07,go55 mug2 guan24 le24 ziim24 xien55 kung24 qiu55 kien55 m11 go55
F0010001A2007_12_07,liong11 ngien11 id2 gi55 sam24 dung24 non24 og2 ngi24 song24 ngin11 liug2 ngied5 hon11
F0010001A2007_130_07,teu11 ha55 ma24 tai55 ga24 du55 kon55 gi11 mo11 ban55 pied2 boi55 mi24 zang55 di24 gi11 he55 tai55 giog2 sii55
F0010001A2007_131_07,an31 giu31 mo11 kon55 do31 n11 go24 ga24 i55 do24 o24 gieu31 e31 siid5 dung24 xi24 ge55 sii11 jied2
F0010001A2007_132_07,hiung24 gab5 gab5 e31 ped5 sa11 id2 loi11 qiu55 ngau24 gi11
F0010001A2007_133_07,gi11 dui55 leu11 dang31 do55 teu11 zung55 died2 ha24 loi11 i55 song24 dong55
F0010001A2007_134_07,bed2 fi11 tied2 lu55 gin24 go55 dong24 do24 san24 fo31 ca24 di55 am55 lung11 du31 zon55 loi11 zon55 hi55
F0010001A2007_135_07,teu11 qien11 cud2 ca24 fo55 ca24 e31 qion11 di55 lu55 hong55 ka11 den31
F0010001A2007_136_07,se55 o24 nga55 e31 sui24 ien11 iu24 do24 seu31 e31 cu55 nen55 so24 m11 go55 qin55 ded2 ngin11 xiag2
F0010001A2007_137_07,a24 ba24 sii31 moi11 ngin11 po11 hi55 a24 lug2 bag2 vug2 ha24 gong31 qin24
